Morrill Hall,39.537876,-119.813642,
Fleischmann Agriculture,39.537814,-119.812313,
Palmer Engineering,39.539458,-119.813285,
Lincoln Hall,39.539361,-119.816124,
Chemistry,39.540567,-119.814676,
Edmund J. Cain Hall,39.541763,-119.814340,
Mathewson IGT Knowledge Center,39.542617,-119.815872,
North Parking Lot,39.550059,-119.819127,
17th Street Parking Lot,39.548392,-119.819095,
Parking Services,39.546994,-119.819768,
Family Medical Center,39.548482,-119.817082,
Howard Medical Sciences,39.549570,-119.815328,
Argenta Hall,39.538672,-119.817738,
Point 15,39.537586,-119.816874,
Infomration Kiosk,39.537182,-119.814728,
Point 17,39.537892,-119.816211,
Virginia Street Gym,39.540217,-119.816370,
Mackay Mines,39.539131,-119.814672,
Nevada Living Learning Center,39.540016,-119.817322,
Lombardi Recreation Center,39.545562,-119.816222,
Sierra Street Parking Complex 1st Floor South,39.539514,-119.818615,
Sierra Street Parking Complex 2nd Floor South,39.539514,-119.818615,
Sierra Street Parking Complex 1st Floor North,39.540335,-119.818658,
Sierra Street Parking Complex 2nd Floor North,39.540335,-119.818658,
E.L. Weigand Fitness Center,39.544159,-119.817255,
Valley Road,39.538583,-119.807601,
Ponderosa Village,39.546291,-119.814246,
